Rank 40081: 8029 - [11331, 6088, 880] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 274211, D Avg: 232521, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 803, 806]]
Rank 40086: 1529 - [11994, 4104, 2201] - HP: 123386, STR: 162894, VIT: 35446, SPD: 56, LUK: 2, Attack: 255080, Defense: 125224, Current HP: 123386, A Avg: 321400, D Avg: 125224, [Big Bang[171, 530, 530, 530], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 730, 67]]
Rank 40087: 8331 - [11372, 5971, 956] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 299743, D Avg: 262814, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 803, 807]]
Rank 40089: 3059 - [11250, 6339, 710] - HP: 1292, STR: 122196, VIT: 172534, SPD: 56, LUK: 2, Attack: 214382, Defense: 262312, Current HP: 1292, A Avg: 225101, D Avg: 314774, [Big Bang[171, 630, 630, 630], Blank Shield[244, 730, 730, 730], Tears of the Dragon[307, 730, 730, 806]]
Rank 40101: 7713 - [11575, 5376, 1348] - HP: 1943, STR: 205702, VIT: 35438, SPD: 56, LUK: 1, Attack: 297888, Defense: 125216, Current HP: 1943, A Avg: 431937, D Avg: 125216, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 730, 68, 807]]
Rank 40108: 13159 - [11635, 5203, 1461] - HP: 1292, STR: 203592, VIT: 35446, SPD: 56, LUK: 2, Attack: 295778, Defense: 125224, Current HP: 1292, A Avg: 488033, D Avg: 125224, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 730], Tears of the Dragon[307, 67, 68, 803]]
Rank 40109: 13292 - [11544, 5477, 1278] - HP: 4598, STR: 175948, VIT: 69718, SPD: 56, LUK: 2, Attack: 263830, Defense: 157546, Current HP: 4598, A Avg: 362766, D Avg: 157546, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 66, 68, 803]]
Rank 40116: 2489 - [11355, 6051, 893] - HP: 41990, STR: 122196, VIT: 138262, SPD: 56, LUK: 2, Attack: 214382, Defense: 228040, Current HP: 41990, A Avg: 270121, D Avg: 228040, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 730, 67]]
Rank 40122: 6809 - [11594, 5340, 1365] - HP: 41990, STR: 162894, VIT: 69718, SPD: 56, LUK: 2, Attack: 255080, Defense: 159496, Current HP: 41990, A Avg: 318850, D Avg: 191395, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 730], Tears of the Dragon[307, 730, 68, 806]]
Rank 40124: 2015 - [11194, 6542, 563] - HP: 83315, STR: 144575, VIT: 169499, SPD: 56, LUK: 1, Attack: 234484, Defense: 259277, Current HP: 83315, A Avg: 293105, D Avg: 259277, [Spectral Sword Shigure[172, 530, 530, 630], Blank Shield[244, 630, 630, 730], Obsidian Ring[320, 730, 730, 68]]
